Train,Test,U,T,Q,Q_t
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202 POI_65 POI_2 POI_90 POI_35 POI_188 POI_230 POI_131,POI_228,244 244 244 244 244 244 244 244 244 244 244 244 244 244 244,1 4.883333333333334 25.216666666666665 4.183333333333334 35.516666666666666 15.983333333333333 130.48333333333332 8.416666666666666 4.033333333333333 15.566666666666666 13.85 2.966666666666667 9.7 2.2 24.45,1 0.8333333333333334 20.216666666666665 4.183333333333334 33.733333333333334 9.25 121.7 7.866666666666666 3.2333333333333334 15.566666666666666 11.9 2.966666666666667 6.316666666666666 2.2 6.916666666666667,-29.95
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202 POI_65 POI_2 POI_90 POI_35 POI_188 POI_230 POI_131 POI_228,POI_84,244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244,1 4.883333333333334 25.216666666666665 4.183333333333334 35.516666666666666 15.983333333333333 130.48333333333332 8.416666666666666 4.033333333333333 15.566666666666666 13.85 2.966666666666667 9.7 2.2 24.45 41.11666666666667,1 0.8333333333333334 20.216666666666665 4.183333333333334 33.733333333333334 9.25 121.7 7.866666666666666 3.2333333333333334 15.566666666666666 11.9 2.966666666666667 6.316666666666666 2.2 6.916666666666667 -29.95,10.366666666666667
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202 POI_65 POI_2 POI_90 POI_35 POI_188 POI_230 POI_131 POI_228 POI_84,POI_131,244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244,1 4.883333333333334 25.216666666666665 4.183333333333334 35.516666666666666 15.983333333333333 130.48333333333332 8.416666666666666 4.033333333333333 15.566666666666666 13.85 2.966666666666667 9.7 2.2 24.45 41.11666666666667 16.533333333333335,1 0.8333333333333334 20.216666666666665 4.183333333333334 33.733333333333334 9.25 121.7 7.866666666666666 3.2333333333333334 15.566666666666666 11.9 2.966666666666667 6.316666666666666 2.2 6.916666666666667 -29.95 10.366666666666667,-60.88333333333333
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202 POI_65 POI_2 POI_90 POI_35 POI_188 POI_230 POI_131 POI_228 POI_84 POI_131,POI_57,244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244,1 4.883333333333334 25.216666666666665 4.183333333333334 35.516666666666666 15.983333333333333 130.48333333333332 8.416666666666666 4.033333333333333 15.566666666666666 13.85 2.966666666666667 9.7 2.2 24.45 41.11666666666667 16.533333333333335 -57.6,1 0.8333333333333334 20.216666666666665 4.183333333333334 33.733333333333334 9.25 121.7 7.866666666666666 3.2333333333333334 15.566666666666666 11.9 2.966666666666667 6.316666666666666 2.2 6.916666666666667 -29.95 10.366666666666667 -60.88333333333333,2.533333333333333
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202 POI_65 POI_2 POI_90 POI_35 POI_188 POI_230 POI_131 POI_228 POI_84 POI_131 POI_57,POI_55,244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244,1 4.883333333333334 25.216666666666665 4.183333333333334 35.516666666666666 15.983333333333333 130.48333333333332 8.416666666666666 4.033333333333333 15.566666666666666 13.85 2.966666666666667 9.7 2.2 24.45 41.11666666666667 16.533333333333335 -57.6 73.6,1 0.8333333333333334 20.216666666666665 4.183333333333334 33.733333333333334 9.25 121.7 7.866666666666666 3.2333333333333334 15.566666666666666 11.9 2.966666666666667 6.316666666666666 2.2 6.916666666666667 -29.95 10.366666666666667 -60.88333333333333 2.533333333333333,5.1
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202 POI_65 POI_2 POI_90 POI_35 POI_188 POI_230 POI_131 POI_228 POI_84 POI_131 POI_57 POI_55,POI_88,244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244,1 4.883333333333334 25.216666666666665 4.183333333333334 35.516666666666666 15.983333333333333 130.48333333333332 8.416666666666666 4.033333333333333 15.566666666666666 13.85 2.966666666666667 9.7 2.2 24.45 41.11666666666667 16.533333333333335 -57.6 73.6 6.883333333333334,1 0.8333333333333334 20.216666666666665 4.183333333333334 33.733333333333334 9.25 121.7 7.866666666666666 3.2333333333333334 15.566666666666666 11.9 2.966666666666667 6.316666666666666 2.2 6.916666666666667 -29.95 10.366666666666667 -60.88333333333333 2.533333333333333 5.1,1.9666666666666666
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202 POI_65 POI_2 POI_90 POI_35 POI_188 POI_230 POI_131 POI_228 POI_84 POI_131 POI_57 POI_55 POI_88,POI_130,244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244,1 4.883333333333334 25.216666666666665 4.183333333333334 35.516666666666666 15.983333333333333 130.48333333333332 8.416666666666666 4.033333333333333 15.566666666666666 13.85 2.966666666666667 9.7 2.2 24.45 41.11666666666667 16.533333333333335 -57.6 73.6 6.883333333333334 1.9666666666666666,1 0.8333333333333334 20.216666666666665 4.183333333333334 33.733333333333334 9.25 121.7 7.866666666666666 3.2333333333333334 15.566666666666666 11.9 2.966666666666667 6.316666666666666 2.2 6.916666666666667 -29.95 10.366666666666667 -60.88333333333333 2.533333333333333 5.1 1.9666666666666666,3.5833333333333335
POI_61,POI_190,244,1,1,58.233333333333334
POI_136,POI_89,244,1,1,1.3333333333333333
POI_136 POI_89,POI_208,244 244,1 1.3333333333333333,1 1.3333333333333333,5.9
POI_136 POI_89 POI_208,POI_62,244 244 244,1 1.3333333333333333 5.9,1 1.3333333333333333 5.9,15.516666666666667
POI_136 POI_89 POI_208 POI_62,POI_150,244 244 244 244,1 1.3333333333333333 5.9 55.483333333333334,1 1.3333333333333333 5.9 15.516666666666667,59.016666666666666
POI_136 POI_89 POI_208 POI_62 POI_150,POI_93,244 244 244 244 244,1 1.3333333333333333 5.9 55.483333333333334 86.85,1 1.3333333333333333 5.9 15.516666666666667 59.016666666666666,56.416666666666664
POI_136 POI_89 POI_208 POI_62 POI_150 POI_93,POI_230,244 244 244 244 244 244,1 1.3333333333333333 5.9 55.483333333333334 86.85 71.46666666666667,1 1.3333333333333333 5.9 15.516666666666667 59.016666666666666 56.416666666666664,8.466666666666667
POI_136 POI_89 POI_208 POI_62 POI_150 POI_93 POI_230,POI_2,244 244 244 244 244 244 244,1 1.3333333333333333 5.9 55.483333333333334 86.85 71.46666666666667 9.083333333333334,1 1.3333333333333333 5.9 15.516666666666667 59.016666666666666 56.416666666666664 8.466666666666667,179.41666666666666
POI_236,POI_177,246,1,1,3.316666666666667
POI_236 POI_177,POI_235,246 246,1 7.633333333333334,1 3.316666666666667,5.483333333333333
POI_177,POI_235,246,1,1,6.116666666666666
POI_177,POI_235,246,1,1,1.2333333333333334
POI_235,POI_68,246,1,1,-97.05
POI_235 POI_68,POI_177,246 246,1 3.6,1 -97.05,-144.71666666666667
POI_235 POI_68 POI_177,POI_235,246 246 246,1 3.6 7.35,1 -97.05 -144.71666666666667,-148.11666666666667
POI_235 POI_68 POI_177 POI_235,POI_68,246 246 246 246,1 3.6 7.35 -10.9,1 -97.05 -144.71666666666667 -148.11666666666667,-97.05
POI_235 POI_68 POI_177 POI_235 POI_68,POI_235,246 246 246 246 246,1 3.6 7.35 -10.9 3.6,1 -97.05 -144.71666666666667 -148.11666666666667 -97.05,-155.63333333333333
POI_235 POI_68 POI_177 POI_235 POI_68 POI_235,POI_177,246 246 246 246 246 246,1 3.6 7.35 -10.9 3.6 -3.566666666666667,1 -97.05 -144.71666666666667 -148.11666666666667 -97.05 -155.63333333333333,-89.71666666666667
POI_235 POI_68 POI_177 POI_235 POI_68 POI_235 POI_177,POI_68,246 246 246 246 246 246 246,1 3.6 7.35 -10.9 3.6 -3.566666666666667 10.933333333333334,1 -97.05 -144.71666666666667 -148.11666666666667 -97.05 -155.63333333333333 -89.71666666666667,-144.53333333333333
POI_235 POI_68 POI_177 POI_235 POI_68 POI_235 POI_177 POI_68,POI_66,246 246 246 246 246 246 246 246,1 3.6 7.35 -10.9 3.6 -3.566666666666667 10.933333333333334 -7.316666666666666,1 -97.05 -144.71666666666667 -148.11666666666667 -97.05 -155.63333333333333 -89.71666666666667 -144.53333333333333,6.3
POI_182,POI_235,247,1,1,45.96666666666667
POI_47,POI_178,247,1,1,102.05
POI_68,POI_182,247,1,1,1.2333333333333334
POI_189,POI_178,247,1,1,92.7
POI_189 POI_178,POI_90,247 247,1 92.7,1 92.7,148.05
POI_189 POI_178 POI_90,POI_229,247 247 247,1 92.7 148.05,1 92.7 148.05,117.25
POI_189 POI_178 POI_90 POI_229,POI_62,247 247 247 247,1 92.7 148.05 117.25,1 92.7 148.05 117.25,176.96666666666667
POI_201,POI_38,247,1,1,138.16666666666666
POI_201 POI_38,POI_235,247 247,1 138.16666666666666,1 138.16666666666666,107.95
POI_235,POI_35,247,1,1,82.51666666666667
POI_235,POI_12,247,1,1,219.3
POI_235 POI_12,POI_230,247 247,1 219.3,1 219.3,102.11666666666666
POI_235,POI_229,247,1,1,5.283333333333333
POI_101,POI_105,248,1,1,59.833333333333336
POI_235,POI_177,249,1,1,47.18333333333333
POI_235 POI_177,POI_89,249 249,1 47.18333333333333,1 47.18333333333333,8.916666666666666
POI_235 POI_177 POI_89,POI_17,249 249 249,1 47.18333333333333 9.933333333333334,1 47.18333333333333 8.916666666666666,10.95
POI_235 POI_177 POI_89 POI_17,POI_87,249 249 249 249,1 47.18333333333333 9.933333333333334 10.95,1 47.18333333333333 8.916666666666666 10.95,1.9166666666666667
POI_235 POI_177 POI_89 POI_17 POI_87,POI_189,249 249 249 249 249,1 47.18333333333333 9.933333333333334 10.95 2.3,1 47.18333333333333 8.916666666666666 10.95 1.9166666666666667,25.65
POI_235 POI_177 POI_89 POI_17 POI_87 POI_189,POI_98,249 249 249 249 249 249,1 47.18333333333333 9.933333333333334 10.95 2.3 28.866666666666667,1 47.18333333333333 8.916666666666666 10.95 1.9166666666666667 25.65,6.166666666666667
POI_235 POI_177 POI_89 POI_17 POI_87 POI_189 POI_98,POI_65,249 249 249 249 249 249 249,1 47.18333333333333 9.933333333333334 10.95 2.3 28.866666666666667 6.166666666666667,1 47.18333333333333 8.916666666666666 10.95 1.9166666666666667 25.65 6.166666666666667,35.583333333333336
POI_235 POI_177 POI_89 POI_17 POI_87 POI_189 POI_98 POI_65,POI_230,249 249 249 249 249 249 249 249,1 47.18333333333333 9.933333333333334 10.95 2.3 28.866666666666667 6.166666666666667 68.25,1 47.18333333333333 8.916666666666666 10.95 1.9166666666666667 25.65 6.166666666666667 35.583333333333336,112.73333333333333
POI_235 POI_177 POI_89 POI_17 POI_87 POI_189 POI_98 POI_65 POI_230,POI_131,249 249 249 249 249 249 249 249 249,1 47.18333333333333 9.933333333333334 10.95 2.3 28.866666666666667 6.166666666666667 68.25 122.26666666666667,1 47.18333333333333 8.916666666666666 10.95 1.9166666666666667 25.65 6.166666666666667 35.583333333333336 112.73333333333333,58.483333333333334
POI_235 POI_177 POI_89 POI_17 POI_87 POI_189 POI_98 POI_65 POI_230 POI_131,POI_202,249 249 249 249 249 249 249 249 249 249,1 47.18333333333333 9.933333333333334 10.95 2.3 28.866666666666667 6.166666666666667 68.25 122.26666666666667 58.483333333333334,1 47.18333333333333 8.916666666666666 10.95 1.9166666666666667 25.65 6.166666666666667 35.583333333333336 112.73333333333333 58.483333333333334,13.216666666666667
POI_235 POI_177 POI_89 POI_17 POI_87 POI_189 POI_98 POI_65 POI_230 POI_131 POI_202,POI_51,249 249 249 249 249 249 249 249 249 249 249,1 47.18333333333333 9.933333333333334 10.95 2.3 28.866666666666667 6.166666666666667 68.25 122.26666666666667 58.483333333333334 13.933333333333334,1 47.18333333333333 8.916666666666666 10.95 1.9166666666666667 25.65 6.166666666666667 35.583333333333336 112.73333333333333 58.483333333333334 13.216666666666667,9.883333333333333
POI_101,POI_117,251,1,1,133.45
POI_101 POI_117,POI_131,251 251,1 133.45,1 133.45,233.33333333333334
POI_101 POI_117 POI_131,POI_90,251 251 251,1 133.45 233.88333333333333,1 133.45 233.33333333333334,9.316666666666666
POI_101 POI_117 POI_131 POI_90,POI_178,251 251 251 251,1 133.45 233.88333333333333 9.316666666666666,1 133.45 233.33333333333334 9.316666666666666,164.28333333333333
POI_224,POI_223,251,1,1,8.233333333333333
POI_224 POI_223,POI_230,251 251,1 8.233333333333333,1 8.233333333333333,168.46666666666667
POI_178,POI_241,253,1,1,-470.0
POI_178 POI_241,POI_178,253 253,1 210.41666666666666,1 -470.0,-210.38333333333333
POI_138,POI_242,253,1,1,179.15
POI_38,POI_189,254,1,1,105.35
POI_29,POI_68,254,1,1,280.1666666666667
POI_29 POI_68,POI_160,254 254,1 280.1666666666667,1 280.1666666666667,24.566666666666666
POI_126,POI_130,255,1,1,12.683333333333334
POI_126 POI_130,POI_131,255 255,1 12.683333333333334,1 12.683333333333334,11.416666666666666
POI_61,POI_190,257,1,1,6.45
POI_61 POI_190,POI_120,257 257,1 6.45,1 6.45,306.8666666666667
POI_84,POI_131,258,1,1,5.083333333333333
POI_84 POI_131,POI_190,258 258,1 5.083333333333333,1 5.083333333333333,-240.71666666666667
POI_84 POI_131 POI_190,POI_203,258 258 258,1 5.083333333333333 12.166666666666666,1 5.083333333333333 -240.71666666666667,84.53333333333333
POI_84 POI_131 POI_190 POI_203,POI_131,258 258 258 258,1 5.083333333333333 12.166666666666666 84.53333333333333,1 5.083333333333333 -240.71666666666667 84.53333333333333,-96.65
POI_201,POI_132,258,1,1,126.73333333333333
POI_5,POI_84,258,1,1,31.8
POI_84,POI_35,259,1,1,92.73333333333333
POI_84 POI_35,POI_188,259 259,1 134.01666666666668,1 92.73333333333333,0.7333333333333333
POI_84 POI_35 POI_188,POI_90,259 259 259,1 134.01666666666668 2.85,1 92.73333333333333 0.7333333333333333,10.016666666666667
POI_84 POI_35 POI_188 POI_90,POI_38,259 259 259 259,1 134.01666666666668 2.85 11.816666666666666,1 92.73333333333333 0.7333333333333333 10.016666666666667,5.9
POI_84 POI_35 POI_188 POI_90 POI_38,POI_236,259 259 259 259 259,1 134.01666666666668 2.85 11.816666666666666 7.55,1 92.73333333333333 0.7333333333333333 10.016666666666667 5.9,20.933333333333334
POI_84 POI_35 POI_188 POI_90 POI_38 POI_236,POI_66,259 259 259 259 259 259,1 134.01666666666668 2.85 11.816666666666666 7.55 31.933333333333334,1 92.73333333333333 0.7333333333333333 10.016666666666667 5.9 20.933333333333334,87.5
POI_84 POI_35 POI_188 POI_90 POI_38 POI_236 POI_66,POI_189,259 259 259 259 259 259 259,1 134.01666666666668 2.85 11.816666666666666 7.55 31.933333333333334 88.53333333333333,1 92.73333333333333 0.7333333333333333 10.016666666666667 5.9 20.933333333333334 87.5,-5.05
POI_84 POI_35 POI_188 POI_90 POI_38 POI_236 POI_66 POI_189,POI_66,259 259 259 259 259 259 259 259,1 134.01666666666668 2.85 11.816666666666666 7.55 31.933333333333334 88.53333333333333 5.3,1 92.73333333333333 0.7333333333333333 10.016666666666667 5.9 20.933333333333334 87.5 -5.05,-92.9
POI_84 POI_35 POI_188 POI_90 POI_38 POI_236 POI_66 POI_189 POI_66,POI_189,259 259 259 259 259 259 259 259 259,1 134.01666666666668 2.85 11.816666666666666 7.55 31.933333333333334 88.53333333333333 5.3 -5.266666666666667,1 92.73333333333333 0.7333333333333333 10.016666666666667 5.9 20.933333333333334 87.5 -5.05 -92.9,-5.05
POI_84 POI_35 POI_188 POI_90 POI_38 POI_236 POI_66 POI_189 POI_66 POI_189,POI_98,259 259 259 259 259 259 259 259 259 259,1 134.01666666666668 2.85 11.816666666666666 7.55 31.933333333333334 88.53333333333333 5.3 -5.266666666666667 5.3,1 92.73333333333333 0.7333333333333333 10.016666666666667 5.9 20.933333333333334 87.5 -5.05 -92.9 -5.05,-66.38333333333334
POI_84 POI_35 POI_188 POI_90 POI_38 POI_236 POI_66 POI_189 POI_66 POI_189 POI_98,POI_99,259 259 259 259 259 259 259 259 259 259 259,1 134.01666666666668 2.85 11.816666666666666 7.55 31.933333333333334 88.53333333333333 5.3 -5.266666666666667 5.3 21.25,1 92.73333333333333 0.7333333333333333 10.016666666666667 5.9 20.933333333333334 87.5 -5.05 -92.9 -5.05 -66.38333333333334,17.683333333333334
POI_84 POI_35 POI_188 POI_90 POI_38 POI_236 POI_66 POI_189 POI_66 POI_189 POI_98 POI_99,POI_189,259 259 259 259 259 259 259 259 259 259 259 259,1 134.01666666666668 2.85 11.816666666666666 7.55 31.933333333333334 88.53333333333333 5.3 -5.266666666666667 5.3 21.25 17.683333333333334,1 92.73333333333333 0.7333333333333333 10.016666666666667 5.9 20.933333333333334 87.5 -5.05 -92.9 -5.05 -66.38333333333334 17.683333333333334,-464.75
POI_84 POI_35 POI_188 POI_90 POI_38 POI_236 POI_66 POI_189 POI_66 POI_189 POI_98 POI_99 POI_189,POI_55,259 259 259 259 259 259 259 259 259 259 259 259 259,1 134.01666666666668 2.85 11.816666666666666 7.55 31.933333333333334 88.53333333333333 5.3 -5.266666666666667 5.3 21.25 17.683333333333334 -38.88333333333333,1 92.73333333333333 0.7333333333333333 10.016666666666667 5.9 20.933333333333334 87.5 -5.05 -92.9 -5.05 -66.38333333333334 17.683333333333334 -464.75,0.16666666666666666
POI_84 POI_35 POI_188 POI_90 POI_38 POI_236 POI_66 POI_189 POI_66 POI_189 POI_98 POI_99 POI_189 POI_55,POI_99,259 259 259 259 259 259 259 259 259 259 259 259 259 259,1 134.01666666666668 2.85 11.816666666666666 7.55 31.933333333333334 88.53333333333333 5.3 -5.266666666666667 5.3 21.25 17.683333333333334 -38.88333333333333 87.8,1 92.73333333333333 0.7333333333333333 10.016666666666667 5.9 20.933333333333334 87.5 -5.05 -92.9 -5.05 -66.38333333333334 17.683333333333334 -464.75 0.16666666666666666,-48.86666666666667
POI_84 POI_35 POI_188 POI_90 POI_38 POI_236 POI_66 POI_189 POI_66 POI_189 POI_98 POI_99 POI_189 POI_55 POI_99,POI_231,259 259 259 259 259 259 259 259 259 259 259 259 259 259 259,1 134.01666666666668 2.85 11.816666666666666 7.55 31.933333333333334 88.53333333333333 5.3 -5.266666666666667 5.3 21.25 17.683333333333334 -38.88333333333333 87.8 -48.86666666666667,1 92.73333333333333 0.7333333333333333 10.016666666666667 5.9 20.933333333333334 87.5 -5.05 -92.9 -5.05 -66.38333333333334 17.683333333333334 -464.75 0.16666666666666666 -48.86666666666667,74.61666666666666
POI_68,POI_77,261,1,1,260.96666666666664
POI_133,POI_70,261,1,1,355.28333333333336
POI_133 POI_70,POI_47,261 261,1 357.8333333333333,1 355.28333333333336,284.8833333333333
POI_81,POI_80,261,1,1,62.916666666666664
POI_223,POI_220,262,1,1,132.93333333333334
POI_99,POI_90,262,1,1,40.36666666666667
POI_84,POI_228,265,1,1,-21.066666666666666
POI_84 POI_228,POI_84,265 265,1 39.71666666666667,1 -21.066666666666666,-39.68333333333333
POI_131,POI_230,269,1,1,97.63333333333334
POI_131 POI_230,POI_90,269 269,1 97.63333333333334,1 97.63333333333334,8.016666666666667
POI_131 POI_230 POI_90,POI_94,269 269 269,1 97.63333333333334 8.016666666666667,1 97.63333333333334 8.016666666666667,267.85
POI_99,POI_97,270,1,1,17.55
POI_230,POI_35,271,1,1,154.8
POI_190,POI_230,272,1,1,5.4
POI_190 POI_230,POI_188,272 272,1 5.4,1 5.4,66.25
POI_190 POI_230 POI_188,POI_235,272 272 272,1 5.4 66.25,1 5.4 66.25,94.35
POI_190 POI_230 POI_188 POI_235,POI_228,272 272 272 272,1 5.4 66.25 94.35,1 5.4 66.25 94.35,61.9
POI_190 POI_230 POI_188 POI_235 POI_228,POI_216,272 272 272 272 272,1 5.4 66.25 94.35 62.083333333333336,1 5.4 66.25 94.35 61.9,29.933333333333334
POI_190 POI_230 POI_188 POI_235 POI_228 POI_216,POI_182,272 272 272 272 272 272,1 5.4 66.25 94.35 62.083333333333336 71.46666666666667,1 5.4 66.25 94.35 61.9 29.933333333333334,8.066666666666666
POI_229,POI_230,274,1,1,162.15
POI_120,POI_95,274,1,1,308.46666666666664
POI_90,POI_35,274,1,1,82.56666666666666
POI_38,POI_230,275,1,1,17.1
POI_38 POI_230,POI_108,275 275,1 17.1,1 17.1,85.15
POI_38 POI_230 POI_108,POI_92,275 275 275,1 17.1 85.15,1 17.1 85.15,54.65
POI_38 POI_230 POI_108 POI_92,POI_61,275 275 275 275,1 17.1 85.15 54.65,1 17.1 85.15 54.65,11.716666666666667
POI_65,POI_14,276,1,1,-33.36666666666667
POI_65 POI_14,POI_65,276 276,1 44.05,1 -33.36666666666667,-44.016666666666666
POI_65 POI_14 POI_65,POI_136,276 276 276,1 44.05 -44.016666666666666,1 -33.36666666666667 -44.016666666666666,3.933333333333333
POI_230,POI_131,277,1,1,1.0166666666666666
POI_99,POI_97,278,1,1,6.283333333333333
POI_99 POI_97,POI_188,278 278,1 7.183333333333334,1 6.283333333333333,0.23333333333333334
POI_99,POI_133,278,1,1,5.35
POI_99 POI_133,POI_189,278 278,1 5.35,1 5.35,32.53333333333333
POI_84,POI_224,279,1,1,-217.85
POI_84 POI_224,POI_84,279 279,1 35.15,1 -217.85,-35.11666666666667
POI_84 POI_224 POI_84,POI_228,279 279 279,1 35.15 -35.11666666666667,1 -217.85 -35.11666666666667,-38.88333333333333
POI_84 POI_224 POI_84 POI_228,POI_84,279 279 279 279,1 35.15 -35.11666666666667 214.11666666666667,1 -217.85 -35.11666666666667 -38.88333333333333,-221.46666666666667
POI_47,POI_190,280,1,1,70.28333333333333
POI_47 POI_190,POI_203,280 280,1 89.41666666666667,1 70.28333333333333,285.76666666666665
POI_150,POI_152,280,1,1,53.78333333333333
POI_150 POI_152,POI_101,280 280,1 62.65,1 53.78333333333333,153.7
POI_97,POI_99,280,1,1,14.416666666666666
POI_97 POI_99,POI_177,280 280,1 15.35,1 14.416666666666666,45.166666666666664
POI_136,POI_189,280,1,1,19.616666666666667
POI_136 POI_189,POI_230,280 280,1 24.933333333333334,1 19.616666666666667,14.75
POI_65,POI_38,280,1,1,184.13333333333333
POI_38,POI_90,281,1,1,0.7333333333333333
POI_38 POI_90,POI_236,281 281,1 8.0,1 0.7333333333333333,-5.25
POI_38 POI_90 POI_236,POI_2,281 281 281,1 8.0 2.0833333333333335,1 0.7333333333333333 -5.25,2.1166666666666667
POI_38 POI_90 POI_236 POI_2,POI_90,281 281 281 281,1 8.0 2.0833333333333335 2.1166666666666667,1 0.7333333333333333 -5.25 2.1166666666666667,-4.15
POI_38 POI_90 POI_236 POI_2 POI_90,POI_190,281 281 281 281 281,1 8.0 2.0833333333333335 2.1166666666666667 -4.15,1 0.7333333333333333 -5.25 2.1166666666666667 -4.15,2.2
POI_38 POI_90 POI_236 POI_2 POI_90 POI_190,POI_188,281 281 281 281 281 281,1 8.0 2.0833333333333335 2.1166666666666667 -4.15 9.533333333333333,1 0.7333333333333333 -5.25 2.1166666666666667 -4.15 2.2,-19.833333333333332
POI_38 POI_90 POI_236 POI_2 POI_90 POI_190 POI_188,POI_189,281 281 281 281 281 281 281,1 8.0 2.0833333333333335 2.1166666666666667 -4.15 9.533333333333333 0.31666666666666665,1 0.7333333333333333 -5.25 2.1166666666666667 -4.15 2.2 -19.833333333333332,-14.266666666666667
POI_38 POI_90 POI_236 POI_2 POI_90 POI_190 POI_188 POI_189,POI_231,281 281 281 281 281 281 281 281,1 8.0 2.0833333333333335 2.1166666666666667 -4.15 9.533333333333333 0.31666666666666665 1.5333333333333334,1 0.7333333333333333 -5.25 2.1166666666666667 -4.15 2.2 -19.833333333333332 -14.266666666666667,-0.8833333333333333
POI_38 POI_90 POI_236 POI_2 POI_90 POI_190 POI_188 POI_189 POI_231,POI_189,281 281 281 281 281 281 281 281 281,1 8.0 2.0833333333333335 2.1166666666666667 -4.15 9.533333333333333 0.31666666666666665 1.5333333333333334 4.55,1 0.7333333333333333 -5.25 2.1166666666666667 -4.15 2.2 -19.833333333333332 -14.266666666666667 -0.8833333333333333,-4.516666666666667
POI_38 POI_90 POI_236 POI_2 POI_90 POI_190 POI_188 POI_189 POI_231 POI_189,POI_98,281 281 281 281 281 281 281 281 281 281,1 8.0 2.0833333333333335 2.1166666666666667 -4.15 9.533333333333333 0.31666666666666665 1.5333333333333334 4.55 -4.516666666666667,1 0.7333333333333333 -5.25 2.1166666666666667 -4.15 2.2 -19.833333333333332 -14.266666666666667 -0.8833333333333333 -4.516666666666667,0.4166666666666667
POI_38 POI_90 POI_236 POI_2 POI_90 POI_190 POI_188 POI_189 POI_231 POI_189 POI_98,POI_97,281 281 281 281 281 281 281 281 281 281 281,1 8.0 2.0833333333333335 2.1166666666666667 -4.15 9.533333333333333 0.31666666666666665 1.5333333333333334 4.55 -4.516666666666667 5.85,1 0.7333333333333333 -5.25 2.1166666666666667 -4.15 2.2 -19.833333333333332 -14.266666666666667 -0.8833333333333333 -4.516666666666667 0.4166666666666667,2.5
POI_38 POI_90 POI_236 POI_2 POI_90 POI_190 POI_188 POI_189 POI_231 POI_189 POI_98 POI_97,POI_188,281 281 281 281 281 281 281 281 281 281 281 281,1 8.0 2.0833333333333335 2.1166666666666667 -4.15 9.533333333333333 0.31666666666666665 1.5333333333333334 4.55 -4.516666666666667 5.85 3.25,1 0.7333333333333333 -5.25 2.1166666666666667 -4.15 2.2 -19.833333333333332 -14.266666666666667 -0.8833333333333333 -4.516666666666667 0.4166666666666667 2.5,-10.566666666666666
POI_38 POI_90 POI_236 POI_2 POI_90 POI_190 POI_188 POI_189 POI_231 POI_189 POI_98 POI_97 POI_188,POI_190,281 281 281 281 281 281 281 281 281 281 281 281 281,1 8.0 2.0833333333333335 2.1166666666666667 -4.15 9.533333333333333 0.31666666666666665 1.5333333333333334 4.55 -4.516666666666667 5.85 3.25 -10.566666666666666,1 0.7333333333333333 -5.25 2.1166666666666667 -4.15 2.2 -19.833333333333332 -14.266666666666667 -0.8833333333333333 -4.516666666666667 0.4166666666666667 2.5 -10.566666666666666,-16.083333333333332
POI_38 POI_90 POI_236 POI_2 POI_90 POI_190 POI_188 POI_189 POI_231 POI_189 POI_98 POI_97 POI_188 POI_190,POI_188,281 281 281 281 281 281 281 281 281 281 281 281 281 281,1 8.0 2.0833333333333335 2.1166666666666667 -4.15 9.533333333333333 0.31666666666666665 1.5333333333333334 4.55 -4.516666666666667 5.85 3.25 -10.566666666666666 -0.2833333333333333,1 0.7333333333333333 -5.25 2.1166666666666667 -4.15 2.2 -19.833333333333332 -14.266666666666667 -0.8833333333333333 -4.516666666666667 0.4166666666666667 2.5 -10.566666666666666 -16.083333333333332,-19.833333333333332
POI_38 POI_90 POI_236 POI_2 POI_90 POI_190 POI_188 POI_189 POI_231 POI_189 POI_98 POI_97 POI_188 POI_190 POI_188,POI_190,281 281 281 281 281 281 281 281 281 281 281 281 281 281 281,1 8.0 2.0833333333333335 2.1166666666666667 -4.15 9.533333333333333 0.31666666666666665 1.5333333333333334 4.55 -4.516666666666667 5.85 3.25 -10.566666666666666 -0.2833333333333333 0.31666666666666665,1 0.7333333333333333 -5.25 2.1166666666666667 -4.15 2.2 -19.833333333333332 -14.266666666666667 -0.8833333333333333 -4.516666666666667 0.4166666666666667 2.5 -10.566666666666666 -16.083333333333332 -19.833333333333332,-16.083333333333332
